Judet,c3511,c3512,c3513,c3514,c3521,c3522,c3523,c3530
dj,7.7,0.0,4.138,1.795,0.0,0.0,0.0,4.77
tl,1.72,0.0,1.193,0.0,0.0,2.316,0.0,3.521
tr,1.061,0.0,0.0,0.0,0.0,0.0,0.0,9.198
bt,1.604,0.0,0.0,0.0,11.965,0.0,0.0,7.214
b,1.277,2.434,1.081,2.601,2.33,1.427,1.901,2.664
ar,2.362,0.0,0.0,0.296,0.905,0.678,0.0,0.767
hd,2.188,0.0,0.0,0.236,0.0,0.0,0.0,0.0
sj,1.236,0.0,0.0,1.248,0.0,1.276,0.0,5.747
cs,1.522,0.0,1.115,0.0,0.0,0.0,0.0,2.82
gl,2.0,0.0,0.0,0.745,0.0,0.479,0.0,0.0
ag,1.045,0.0,0.437,0.0,0.0,0.0,0.0,4.885
gr,2.337,0.0,0.0,0.0,10.528,0.0,0.0,0.0
