Judet,PersoaneAnalfabete
gr,0.043546831808344226
il,0.03864378577132174
tr,0.0307317186911872
tl,0.02729901313721793
cv,0.02567652932956438
vs,0.025327661999348747
vn,0.025157113508350325
mh,0.02343205616773431
br,0.021886491333426565
if,0.02133125311024734
ms,0.021312667720011034
sj,0.02118849618849619
gl,0.02071238192392125
db,0.020423459344874578
bc,0.020338638563038
bt,0.02033673304192974
bz,0.020091483003141782
bn,0.018066236694554663
sm,0.017809183493890168
ot,0.016993292442778155
is,0.015873238572092493
dj,0.015846515955991024
ct,0.015326931040155197
gj,0.015241380386770514
hr,0.013955358416663424
vl,0.013289968434993485
nt,0.013139730317631788
ab,0.012721754439071798
ph,0.01266659027921999
sv,0.012293640156346786
ar,0.012028044982433532
cs,0.011710224228140262
mm,0.01150668550929449
tm,0.010984557071285159
hd,0.01066444223427123
cl,0.00980029212409216
ag,0.00980029212409216
sb,0.00974313238343986
cj,0.009179410091511542
bh,0.008915471765329034
bv,0.008901858596325475
b,0.002236218849678853
