Judet,FaraScoala_Analfabeti
gr,8280.792980175496
il,7627.747159284208
tr,6365.129468524649
tl,5113.096991718223
vn,5006.81842558212
cl,4959.192926773974
cv,4935.504168633003
mh,4930.227696381596
db,4667.250388149571
vs,4653.29377150551
bt,4590.23146159981
if,4517.815711183135
sj,4496.532123277164
bz,4492.524289275142
br,4466.300016835961
ot,4317.471737580857
gl,4213.964302377996
ms,4198.191672032625
sm,4116.498993449106
dj,3896.7524684664118
bc,3759.852024036732
bn,3727.2754863577043
bh,3546.5515153961014
vl,3438.5375057957754
ct,3361.507101866999
gj,3314.148170586935
mm,3308.0766328960444
is,3297.302227008998
hr,3162.7764845456263
sv,3029.4527518144496
ab,3022.6792764668076
ph,2988.408611875057
nt,2861.903056537378
cs,2848.335501085907
tm,2724.0065265318585
ar,2620.866159161964
cj,2595.655267303215
ag,2436.081852350239
sb,2414.3565411517006
bv,2341.626594187748
hd,2316.7731055265267
b,870.6467071494292
